Customer Loyalty ID,Gender,Geographic Region,Loyalty Status,Neigborhood Cluster-55 Level,Neighborhood Cluster-7 Level,Television Region,Affluence Grade,Age,Loyalty Card Tenure,Organics Purchase Indicator
140,U,Midlands,Gold,16,C,Wales & West,10,76,4,0
620,U,Midlands,Gold,35,D,Wales & West,4,49,5,0
868,F,Midlands,Silver,27,D,Wales & West,5,70,8,1
1120,M,Midlands,Tin,51,F,Midlands,10,65,7,1
2313,F,Midlands,Tin,4,A,Midlands,11,68,8,0
2771,U,North,Platinum,28,D,N West,9,72,3,0
3131,F,Midlands,Tin,3,A,East,11,74,8,0
3328,M,North,Tin,32,D,N East,13,62,5,0
4529,M,Midlands,Silver,49,F,East,10,62,3,0
5886,F,U,Gold,49,F,Unknown,14,43,1,1
7420,F,North,Gold,52,F,N East,7,60,2,0
9814,M,South East,Silver,24,C,London,5,0,1,1
10006,F,Midlands,Silver,52,F,Midlands,9,51,11,0
10219,F,South East,Tin,19,C,S & S East,6,64,9,0
10812,F,South East,Tin,18,C,London,16,37,4,1
11207,M,Midlands,Silver,28,D,Midlands,8,54,1,0
11932,F,Midlands,Gold,15,B,Midlands,5,70,8,0
14656,F,Midlands,Tin,19,C,East,0,42,5,1
15350,F,Scottish,Tin,40,E,C Scotland,7,0,5,1
17302,U,South East,Tin,28,D,London,7,49,7,0
19496,F,Midlands,Silver,49,F,Midlands,9,66,12,0
19763,F,Midlands,Gold,8,B,Wales & West,9,74,2,0
20478,U,Midlands,Gold,37,E,East,6,70,2,0
20761,M,South East,Silver,30,D,S & S East,7,66,5,0
23124,F,South East,Tin,27,D,London,6,46,8,0
24554,M,Midlands,Tin,U,Unknown,Ulster,10,39,5,0
24880,M,Midlands,Silver,12,B,East,7,75,7,0
26387,F,Midlands,Silver,U,Unknown,Ulster,0,72,23,1
27715,M,North,Tin,53,F,N West,7,43,5,1
29173,F,Midlands,Gold,24,C,Wales & West,7,62,4,0
29440,M,South West,Silver,5,B,S West,8,37,9,1
30600,F,South East,Tin,48,F,London,9,49,8,0
30937,U,North,Gold,32,D,N East,8,79,1,0
39330,M,Midlands,Tin,50,F,East,0,0,4,0
41092,F,Midlands,Gold,35,D,East,3,50,3,0
41475,M,South East,Tin,28,D,London,0,66,11,0
42439,F,Midlands,Silver,19,C,Wales & West,15,35,5,1
45799,F,Midlands,Silver,14,B,Wales & West,10,71,5,0
46906,F,North,Silver,51,F,N West,7,44,1,0
50237,M,North,Tin,15,B,N East,8,42,5,0
51950,F,South West,Gold,8,B,S West,9,68,5,1
54496,F,North,Tin,32,D,Yorkshire,9,31,4,0
56073,F,South East,Gold,12,B,London,8,70,15,0
57002,F,North,Platinum,38,E,N East,7,72,3,0
57622,M,Midlands,Tin,U,Unknown,East,12,41,9,0
59056,F,North,Gold,52,F,N East,9,37,1,1
59862,F,North,Gold,24,C,N West,8,58,7,0
63002,F,South East,Silver,31,D,London,7,47,5,0
63983,M,Midlands,Silver,37,E,East,8,71,6,0
71986,F,Midlands,Silver,27,D,Midlands,8,62,5,1
72559,U,Midlands,Gold,37,E,Midlands,15,72,12,0
73148,F,Midlands,Silver,44,E,Midlands,8,39,4,1
75205,M,Midlands,Gold,34,D,Wales & West,6,76,19,0
75469,F,Scottish,Gold,11,B,Border,7,61,11,1
80322,U,Midlands,Tin,32,D,Midlands,6,53,5,0
80608,M,North,Silver,22,C,Yorkshire,8,60,11,1
82678,F,South East,Tin,52,F,London,15,42,5,1
83852,F,South East,Silver,4,A,London,13,0,4,0
84573,F,Midlands,Silver,38,E,Midlands,10,57,11,0
87750,M,Midlands,Tin,51,F,Midlands,6,45,4,0
89796,F,Midlands,Silver,12,B,East,11,75,8,1
91588,F,North,Tin,38,E,Yorkshire,8,37,5,1
93564,U,South West,Silver,42,E,S West,13,61,8,0
95036,F,U,Silver,8,B,Unknown,12,61,9,0
95982,F,North,Tin,4,A,Yorkshire,19,39,8,1
97802,M,Midlands,Silver,U,Unknown,Ulster,7,55,1,0
102385,M,Scottish,Gold,8,B,C Scotland,8,57,9,0
103225,F,South East,Gold,22,C,S & S East,13,18,1,0
108413,U,North,Silver,1,A,N West,5,56,8,0
109819,F,North,Gold,27,D,N East,9,50,4,0
113743,F,North,Silver,51,F,N West,0,54,2,0
117498,U,North,Platinum,15,B,N East,11,67,8,0
118397,F,Midlands,Silver,37,E,Midlands,7,78,24,0
121312,F,Midlands,Tin,19,C,Midlands,5,61,5,0
121495,U,South East,Silver,14,B,London,5,45,11,0
124710,F,South East,Silver,1,A,London,11,66,5,0
126098,U,North,Gold,24,C,Yorkshire,2,51,5,0
126586,F,Midlands,Gold,18,C,Midlands,3,0,1,0
127892,U,North,Silver,12,B,N West,10,60,9,0
129283,M,Midlands,Silver,19,C,East,9,48,2,0
129410,F,South East,Silver,24,C,S & S East,8,53,1,0
134872,U,Midlands,Gold,45,E,Midlands,10,72,8,1
140597,F,South East,Tin,41,E,London,9,68,7,0
144649,F,Scottish,Tin,1,A,N Scot,8,47,5,0
145157,F,South East,Silver,40,E,London,11,39,1,1
146730,F,South East,Tin,4,A,London,12,72,8,0
148415,M,South East,Gold,40,E,London,10,67,4,0
148849,F,South East,Tin,25,C,London,9,60,8,0
151432,M,North,Gold,30,D,Yorkshire,6,0,3,0
154040,M,North,Tin,52,F,N West,11,52,9,0
156515,F,Midlands,Tin,27,D,Midlands,7,55,8,0
158216,M,South East,Gold,U,Unknown,S & S East,14,65,6,0
159522,M,South East,Tin,12,B,London,13,41,7,1
162485,F,Midlands,Silver,28,D,East,16,34,3,1
165808,F,North,Silver,32,D,N West,6,40,7,1
168394,F,South East,Tin,53,F,London,9,35,4,1
170127,M,North,Silver,10,B,Yorkshire,7,50,10,0
181498,U,North,Silver,1,A,N West,6,62,29,0
191396,M,North,Tin,51,F,Yorkshire,7,0,10,0
192791,M,Midlands,Gold,16,C,East,9,60,5,0
197440,F,North,Gold,14,B,N West,8,49,4,0
202878,M,Midlands,Silver,53,F,Midlands,6,57,8,0
203289,U,Midlands,Platinum,51,F,Midlands,7,52,6,0
206032,M,Scottish,Gold,52,F,C Scotland,6,75,17,0
209732,U,Midlands,Gold,37,E,Midlands,15,55,6,0
213241,F,U,Gold,51,F,Unknown,5,57,1,0
215554,F,North,Silver,22,C,N West,8,52,6,1
217158,F,Midlands,Gold,3,A,East,12,74,5,0
223182,F,South East,Silver,28,D,London,9,79,5,0
234540,U,North,Silver,32,D,Yorkshire,6,48,4,0
239844,U,South East,Tin,41,E,London,11,60,8,0
243051,F,North,Silver,53,F,N West,3,38,9,1
248258,F,North,Silver,10,B,N West,9,58,5,0
249335,M,Midlands,Silver,30,D,Wales & West,4,52,4,0
252646,F,North,Silver,47,F,Yorkshire,3,45,9,0
253839,F,North,Silver,51,F,N West,9,42,4,0
256366,U,Midlands,Silver,51,F,Midlands,10,40,10,0
259802,U,Midlands,Gold,35,D,Midlands,5,55,8,0
262684,U,Midlands,Gold,23,C,Midlands,8,77,3,0
263419,F,South East,Tin,19,C,London,11,27,7,1
267236,F,North,Tin,37,E,N West,4,60,8,0
270962,U,South East,Silver,4,A,London,7,58,5,0
271101,U,Midlands,Tin,5,B,Midlands,7,54,0,0
274623,M,North,Tin,32,D,N West,7,42,4,0
275700,F,U,Silver,48,F,Unknown,10,36,9,1
276871,F,South East,Gold,41,E,London,6,0,1,1
277010,F,South East,Tin,31,D,London,4,57,5,0
278661,F,Midlands,Gold,18,C,Midlands,10,72,8,0
280895,F,Midlands,Tin,17,C,East,10,0,6,1
282057,F,North,Tin,51,F,N West,7,37,5,0
285846,F,Midlands,Silver,51,F,East,9,76,8,1
287628,F,North,Tin,34,D,N West,6,45,5,0
288748,F,South East,Gold,19,C,S & S East,14,0,8,0
290890,M,South East,Silver,48,F,London,0,51,9,0
293083,U,South East,Silver,12,B,S & S East,15,61,2,0
293555,F,Scottish,Silver,11,B,N Scot,12,61,1,0
295620,M,Midlands,Tin,U,Unknown,Ulster,9,47,5,0
297194,U,Midlands,Tin,50,F,East,8,52,8,0
300845,U,Midlands,Silver,38,E,Midlands,8,40,1,0
301175,F,Midlands,Tin,34,D,Midlands,5,56,9,0
301981,F,North,Gold,47,F,N West,8,51,8,0
310786,F,South East,Gold,24,C,London,9,50,2,0
312169,U,North,Tin,38,E,N West,4,46,5,0
312762,F,South East,Silver,8,B,S & S East,8,41,7,1
315559,M,South East,Silver,10,B,London,8,60,8,0
315788,F,South East,Silver,15,B,S & S East,10,70,8,0
316350,F,South East,Tin,28,D,London,9,50,9,1
317640,F,Midlands,Tin,49,F,Midlands,15,37,8,1
317950,F,South East,Silver,18,C,London,9,74,5,0
318922,U,South West,Silver,37,E,S West,8,61,6,1
323039,U,North,Silver,4,A,N West,8,49,3,0
324469,F,South East,Tin,34,D,S & S East,7,0,8,0
331341,M,Scottish,Gold,11,B,C Scotland,9,53,4,0
332658,F,Midlands,Tin,34,D,Midlands,4,0,5,0
335606,U,Scottish,Silver,45,E,Border,0,59,7,0
340146,U,North,Tin,12,B,N West,7,63,5,0
342033,F,North,Silver,32,D,N West,7,51,10,0
